,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
444,NCc1cnn(O)c1,113.11999999999998,-0.4209000000000003,1,64.07,1,1,2,4
445,COC(c1ccc(C(C)=O)cc1)C(F)(F)C(=O)C12CC3CC(CC(C3)C1)C2,376.4430000000002,4.997500000000005,6,43.370000000000005,5,1,0,3
446,O=C(O)C1=CCNCC1,127.143,-0.009299999999999864,1,49.33,1,0,2,2
447,CC(=O)c1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1,362.4160000000001,4.3434000000000035,5,54.37,5,1,1,3
448,CCCC=CC(O)C(F)(F)C(=O)c1ccc(Cl)cc1,288.721,3.875200000000003,6,37.3,1,1,1,2
449,CC=CC=CC(O)C(F)(F)C(=O)C=CCCCC,258.30799999999994,3.4304000000000023,8,37.3,0,0,1,2
450,CC(C)c1cccc(C(C)C)c1O,178.27499999999995,3.6390000000000025,2,20.23,1,1,1,1
451,NCc1cnn(O)c1Br,192.01599999999996,0.34159999999999996,1,64.07,1,1,2,4
452,NCc1cn(O)nc1-c1ccccc1,189.21800000000002,1.2461000000000002,2,64.07,2,2,2,4
453,NCc1cn(O)nc1Cc1ccccc1,203.245,1.1699,3,64.07,2,2,2,4
454,O=C(O)CC1CN=CN1,128.131,-0.5388,2,61.69,1,0,2,3
455,CC1SC(=N)NC1CC(=O)O,174.22499999999997,0.4893699999999999,2,73.18,1,0,3,3
456,Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O,501.7940000000001,5.814800000000003,1,40.46,2,2,2,2
457,Cl.NCc1n[nH]c(=O)o1,151.553,-0.7566000000000002,1,84.91,1,1,2,4
458,CCc1nc(N)ccc1C(=O)O,166.17999999999998,0.9244000000000001,2,76.21,1,1,2,3
459,CC(C(=O)O)C1CSC(=N)N1,174.22500000000002,0.34686999999999985,2,73.17999999999999,1,0,3,3
460,CC(C(=O)O)C1CSC(=N)N1,174.22500000000002,0.34686999999999985,2,73.17999999999999,1,0,3,3
461,CC(C)(O)C(=O)c1oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO,533.7950000000003,6.0064000000000055,6,112.66000000000001,4,4,3,6
462,O=c1[nH]oc2c1CCNC2,140.142,-0.3864000000000001,0,58.03,2,1,2,3
463,N=C1NC(CC(=O)O)CS1,160.198,0.10087000000000018,2,73.18,1,0,3,3
464,Cc1nc(N)ccc1C(=O)O,152.153,0.67042,1,76.21,1,1,2,3
465,Nc1ccc(C(=O)O)c(-c2ccccc2)n1,214.22400000000002,2.029,2,76.21000000000001,2,2,2,3
466,NCc1cn(O)nc1-c1cccc(-c2ccccc2)c1,265.31600000000003,2.913100000000002,3,64.07,3,3,2,4
467,NCc1cc(=O)[nH]o1,114.10399999999998,-0.5734000000000001,1,72.02000000000001,1,1,2,3
468,CP(=O)(O)C1(O)CC(N)C1,165.129,-0.3037000000000001,1,83.55,1,0,3,3
469,CP(=O)(O)C1CC(N)C1,149.12999999999997,0.3763000000000002,1,63.31999999999999,1,0,2,2
470,O=C(O)Cc1c[nH]cn1,126.115,0.03680000000000022,2,65.97999999999999,1,1,2,2
471,Nc1ccc(C(=O)O)c(Cl)n1,172.571,1.0154,1,76.21000000000001,1,1,2,3
472,N=C1CCC(C(=O)O)CN1,142.158,0.04786999999999986,1,73.18,1,0,3,2
473,CCCCc1nc(N)ccc1C(=O)O,194.234,1.7046000000000001,4,76.21,1,1,2,3
474,NCC=CC(=O)O,101.10499999999999,-0.41409999999999997,2,63.32000000000001,0,0,2,2
475,CCc1cc(N)ncc1C(=O)O,166.18,0.9244000000000001,2,76.21,1,1,2,3
476,CC(C)CC(=O)C(F)(F)C(NC(=O)OC(C)(C)C)c1ccccc1,341.398,4.502900000000004,6,55.400000000000006,1,1,1,3
477,CC(C)(C)OC(=O)NC(c1ccccc1)C(F)(F)C(=O)c1ccc2c(c1)OCO2,405.3970000000002,4.499300000000004,5,73.86,3,2,1,5
478,NC1=NCC(C(=O)O)CN1,143.146,-1.3948999999999994,1,87.71,1,0,3,4
479,CP(=O)(O)C1(O)CC(N)C1,165.129,-0.3037000000000001,1,83.55,1,0,3,3
480,CCc1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1,348.4330000000001,4.703200000000004,5,37.3,5,1,1,2
481,Nc1ccc(C(=O)O)cn1,138.12599999999998,0.3620000000000001,1,76.21000000000001,1,1,2,3
482,CCCCc1cc(N)ncc1C(=O)O,194.234,1.7046000000000001,4,76.21,1,1,2,3
483,CCc1cc(C(=O)O)cnc1N,166.17999999999995,0.9243999999999999,2,76.21,1,1,2,3
484,Cc1cc(N)ncc1C(=O)O,152.15300000000002,0.67042,1,76.21,1,1,2,3
485,Nc1ncc(C(=O)O)cc1I,264.02199999999993,0.9666000000000001,1,76.21,1,1,2,3
486,Cc1cc(C(=O)O)cnc1N,152.153,0.67042,1,76.21,1,1,2,3
487,COc1ccc(C(O)C(F)(F)C(=O)c2ccc3ccccc3c2)cc1,342.341,4.400000000000003,5,46.53,3,3,1,3
488,CCCC=CC(O)C(F)(F)C(=O)c1ccc2ccccc2c1,304.336,4.375000000000003,6,37.3,2,2,1,2
489,NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,4,63.32000000000001,1,1,2,2
490,CC(CC(O)C(F)(F)C(=O)c1ccc2c(c1)OCO2)O[Si](C(C)C)(C(C)C)C(C)C,444.5910000000002,5.564900000000005,10,64.99000000000001,2,1,1,5
491,NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,4,63.32000000000001,1,1,2,2
492,On1cc2c(n1)CCNC2,139.15800000000002,-0.23389999999999994,0,50.08,2,1,2,4
493,NCc1cn(O)nc1CCc1ccccc1,217.272,1.3642999999999996,4,64.07,2,2,2,4
494,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)c1ccccc1,320.37899999999996,4.140800000000003,4,37.3,5,1,1,2
495,NCc1cn(O)nc1N,128.135,-0.8387,1,90.08999999999999,1,1,3,5
496,NCc1cn(O)nc1I,239.01599999999996,0.18370000000000009,1,64.07,1,1,2,4
497,CCc1nn(O)cc1CN,141.17399999999995,0.14150000000000007,2,64.07,1,1,2,4
498,CC(=O)c1ccc(C(O)CC(=O)C23CC4CC(CC(C4)C2)C3)cc1,326.43600000000004,4.098200000000004,5,54.37,5,1,1,3
499,CNc1ccc(C(=O)O)cn1,152.153,0.8214999999999999,2,62.22,1,1,2,3
500,Cc1c(CN)cnn1O,127.14699999999999,-0.11248000000000002,1,64.07,1,1,2,4
501,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)C=Cc1ccccc1,346.417,4.481500000000004,5,37.3,5,1,1,2
502,CC(C)(C)c1cc(C(C)(C)C)c2c(c1)C(O)(C(F)(F)F)C(=O)O2,330.346,3.950500000000004,0,46.53,2,1,1,3
503,On1ncc2c1CCNC2,139.158,-0.23390000000000016,0,50.08,2,1,2,4
504,NCc1cn(O)nc1CCc1ccncc1,218.26,0.7592999999999994,4,76.96,2,2,2,5
505,Cc1nn(O)cc1CN,127.14699999999999,-0.11248000000000002,1,64.07,1,1,2,4
506,CC=CC=CC(O)C(F)(F)C(=O)c1ccc2ccccc2c1,302.32,4.1510000000000025,5,37.3,2,2,1,2
507,O=C(c1ccc2ccccc2c1)C(F)(F)C(O)C1CCCCC1,318.36300000000017,4.599000000000003,4,37.3,3,2,1,2
508,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(NS(=O)(=O)c1ccccc1)c1ccccc1,459.5580000000001,5.127000000000004,7,63.24,6,2,1,3
509,CC(C)(C)OC(=O)NC(c1ccccc1)C(F)(F)C(=O)c1ccc2ccccc2c1,411.44800000000015,5.923800000000005,5,55.4,3,3,1,3
510,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)c1ccc(Cl)cc1,354.82399999999996,4.7942000000000045,4,37.3,5,1,1,2
511,CC1(C)C2CCC(C(O)C(F)(F)C(=O)c3ccc4c(c3)OCO4)C1C2,352.3770000000001,3.6665000000000028,4,55.760000000000005,5,1,1,4
512,Cc1nn(O)c(C)c1CN,141.17399999999998,0.19594000000000011,1,64.07,1,1,2,4
