,SMILES
111,CCC(=O)NC1CCC(C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1
112,CC(C)CC(=O)C(F)(F)C(NC(=O)OC(C)(C)C)c1ccccc1
113,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)C=Cc1ccccc1
114,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
115,CN1CCC2(O)c3cc(Br)ccc3N(C)C12c1ccccc1
116,CC1(C)CCc2ncc3c(OCc4ccccc4Cl)n(-c4ccc(Cl)cc4)nc3c2C1
117,COc1cc(CCc2ccc(O)cc2)cc(OC)c1
118,Cc1cc(N)ncc1C(=O)O
119,CCCCc1cc(N)ncc1C(=O)O
120,COc1cc(O)cc(CCc2cccc(O)c2)c1
121,NC1=NCC(C(=O)O)CN1
122,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1
123,NCc1cn(O)nc1N
124,Nc1ccc(C(=O)O)cn1
125,CCc1cc(C(=O)O)cnc1N
126,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC(=O)CCC(=O)OC)cc2)nc2c(Cl)cc(Cl)cn12
127,CC=CC=CC(O)C(F)(F)C(=O)C(C)(C)C
128,CC(=O)c1ccc(C(O)CC(=O)C23CC4CC(CC(C4)C2)C3)cc1
129,CCCC=CC(O)C(F)(F)C(=O)c1ccc2ccccc2c1
130,NCC(CC(=O)O)c1ccc(Cl)cc1
131,CC(C)c1cc(C2(C(F)(F)F)N=N2)cc(C(C)C)c1CO
132,CCCCN(C)C(=O)Cc1c(-c2ccc(O)cc2)nc2c(Cl)cc(Cl)cn12
133,Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1
134,CN1C(=O)C(N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21
135,COc1ccc(C(O)C(F)(F)C(=O)c2ccc3ccccc3c2)cc1
136,Nc1ncc(C(=O)O)cc1I
137,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
138,O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1
139,COc1ccc2c(c1)-n1ncc(C(=O)Nc3ccccc3)c1NC2
140,COc1ccc2cnc3c(C(=O)NC4CCCCC4)cnn3c2c1
141,CN(C(=O)Cc1c(-c2nccs2)nc2c(Cl)cc(Cl)cn12)c1ccccc1
142,NCCCCc1no[nH]c1=O
143,Cc1cccc(C)c1O
144,Clc1ccc(-n2nc3c4c(ncc3c2OCC2CC2)CCCC4)cc1
145,O=c1cc(-c2cccc([N+](=O)[O-])c2)oc2ccc(Br)cc12
146,COc1cc(CCc2ccc(OC)c(OC)c2)cc(OC)c1
147,Clc1ccc(-n2nc3c(cnc4ccccc43)c2OCC2CC2)cc1
148,CCCN(CCC)C(=O)Cc1c(-c2nccs2)nc2c(Cl)cc(Cl)cn12
149,Clc1ccc(-n2nc3c(cnc4ccc(-n5ccnc5)cc43)c2OCC2CC2)cc1
150,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(Cl)cc2-3)on1
151,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(OC(F)(F)F)cc2-3)on1
152,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCCCC4)cc1
153,CCOC(=O)C1C(C)=NC(=O)NC1c1cccc(O)c1
154,COC(=O)C1C(C)=NC(=O)NC1c1ccccc1
155,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12
156,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c(NC(=O)CCC(=O)O)c2)nc2c(Cl)cc(Cl)cn12
157,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CC(=O)O)cccn12
158,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CCC(=O)O)cccn12
159,NC1CC=C(C(=O)O)C1
160,Cc1c(F)c(Nc2cnc3c(c2)OCC(=O)N3C)cc2c1ncn2CC1CC1
161,CCc1nn(O)cc1CN
162,NCCCc1no[nH]c1=O
163,COc1cc(O)cc(C=Cc2cccc(O)c2)c1
164,CCOC(=O)C1=C(C)N(C)C(=S)NC1c1cccc(O)c1
165,Cc1noc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(Br)cc2-3)n1
166,COc1ccc2c(c1)-c1nc(Cc3cc(C)no3)nn1Cc1c(C)ncn1-2
167,O=C(Nc1c(-c2cccs2)nc2ccc(I)cn12)c1ccc(Cl)cc1
168,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)c1ccccc1
169,CC1=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C(C#N)=C(C)N1
170,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c([N+](=O)[O-])c2)nc2c(Cl)cc(Cl)cn12
171,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CCC(=O)OCC)cccn12
172,Clc1ccccc1COc1c2cnc3ccccc3c2nn1-c1ccc2c(c1)OCO2
173,O=C(Nc1c(-c2cccs2)nc2ccc(F)cn12)c1ccc(Cl)cc1
174,CN(C(=O)Cn1c(=O)oc2ccc(-c3cccnc3)cc21)c1ccc(C(F)(F)F)cc1
175,Cc1ncn2c1Cn1nc(CC3CC3)nc1-c1cc(Br)ccc1-2
176,CC(CC(O)C(F)(F)C(=O)c1ccc2c(c1)OCO2)O[Si](C(C)C)(C(C)C)C(C)C
177,Cc1cc(C(O)(c2ccc3c(cnn3-c3ccc(F)cc3)c2)C(F)(F)F)ccc1F
178,COC(=O)C1C(C)=NC(=S)NC1c1cccc(O)c1
179,CN1C(=O)C(N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21
180,CC(=O)c1ccc(C(O)C(F)(F)C(=O)c2ccccn2)cc1
181,NCc1cn(O)nc1CCc1ccccc1
182,Clc1ccc(-n2nc3c(cnc4ccccc43)c2OCc2ccccc2Cl)cc1
183,FC(F)(F)c1ccccc1COc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3
184,O=c1c2cnc3ccccc3c2[nH]n1-c1ccc(Cl)cc1
185,O=C(c1ccc2ccccc2c1)C(F)F
186,Clc1ccc(-n2nc3c4c(ncc3c2OCc2cccc(Cl)c2)CCCC4)cc1
187,O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccccc1
188,COC(=O)c1cc2c(cn1)[nH]c1ccccc12
189,N#Cc1cc(C(O)(c2ccc3c(cnn3-c3ccc(F)cc3)c2)C(F)(F)F)ccc1F
190,OC(c1ccc2c(cnn2-c2ccc(F)cc2)c1)(c1cccc(Cl)c1Cl)C(F)(F)F
191,CC=CC=CC(O)C(F)(F)C(=O)c1ccc2ccccc2c1
192,O=C(c1ccc2ccccc2c1)C(F)(F)C(O)C1CCCCC1
193,CCOC(=O)C1C(C)=NC(=S)NC1c1cccc(O)c1
194,Cc1nn(O)c(C)c1CN
195,Cc1ncn2c1Cn1nc(C(C)(C)C)nc1-c1cc(Br)ccc1-2
196,CC(C)c1ccccc1O
197,CC(C)(C)c1cc(C(C)(C)C)c2c(c1)C(O)(C(F)(F)F)C(=O)O2
198,CCOC(=O)C1C(C)=NC(=S)NC1c1ccc(O)c(O)c1
199,COc1ccc2c(c1)-n1ncc(C(=O)NCc3ccco3)c1NC2
200,CC1(C)CC(=O)c2c(SCCO)sc(-c3nccs3)c2C1
