,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
82,NCCCC(=O)O,103.12099999999998,-0.19009999999999977,3,63.32000000000001,0,0,2,2
83,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,341.84200000000004,4.413200000000004,5,37.61,3,3,0,3
84,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,337.379,2.3945000000000007,1,64.43,3,2,0,5
85,Cc1cccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccccc2)c1,376.43100000000004,3.769720000000002,6,58.2,3,3,2,2
86,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccc(Cl)cc12,330.74600000000004,3.459500000000001,4,61.96,3,3,2,2
87,O=C(NCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,323.30800000000005,2.5752000000000006,5,105.1,3,3,2,4
88,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12,260.31800000000004,3.114200000000002,2,43.6,3,3,0,5
89,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1OC,478.32300000000015,6.186200000000003,5,62.3,3,3,1,6
90,CCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12,295.342,2.921400000000001,5,56.49000000000001,3,3,0,5
91,CCOC(=O)c1c(C)nc2c(cnn2CC)c1N,248.28599999999997,1.5185199999999999,3,83.03,2,2,1,6
92,Cn1cc(C(=O)C(=O)NCc2ccc(Cl)cc2)c2ccccc21,326.7830000000001,3.3308000000000018,4,51.1,3,3,1,3
93,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C)s1,438.32700000000017,6.538920000000004,3,43.84,3,3,1,5
94,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1Br,421.0690000000001,5.264500000000001,2,43.84,2,2,1,4
95,CN1Cc2c(C(=O)OCCC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O,375.8560000000001,3.7043000000000026,3,64.43,3,2,0,5
96,O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,281.27099999999996,2.7071000000000005,2,84.6,3,2,1,4
97,Cc1c(C2CCNCC2)o[nH]c1=O,182.223,0.74332,1,58.03,2,1,2,3
98,COCCN(CCOC)c1nn2c(-c3ccc(C)cc3)nnc2c2ccccc12,391.4750000000001,3.352120000000002,8,64.78,4,4,0,7
99,CN(CCc1cccc(F)c1)C1C2C3CC4C5C3CC2C5C41,297.41700000000003,3.4464000000000024,4,3.24,6,1,0,1
100,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,413.4200000000001,5.485500000000005,8,48.0,3,3,0,4
101,O=c1c2cnc3c(c2[nH]n1-c1ccc(Cl)cc1)CCCC3,299.76100000000014,3.2460000000000013,1,50.68,4,3,1,3
102,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccccc12,296.301,2.8061000000000007,4,61.96,3,3,2,2
103,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2,293.32600000000014,2.4576000000000002,3,56.49000000000001,4,3,0,5
104,Cc1nnc(CNC(=O)C(N)CC(C)C)n1-c1ccc(Cl)cc1C(=O)c1ccccc1,439.9470000000002,3.449720000000002,8,102.9,3,3,2,6
105,COCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1,339.3880000000002,1.3465,7,66.46000000000001,2,1,0,7
106,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.39700000000005,3.2488400000000013,3,37.61000000000001,3,3,0,3
107,COc1ccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)cc1,309.32500000000005,2.5025000000000004,5,83.22,3,3,3,4
108,O=c1[nH]oc2c1CCNC2,140.142,-0.3864000000000001,0,58.03,2,1,2,3
109,Clc1cccc2[nH]c3c(ncc4[nH]c5ccccc5c43)c12,291.7410000000001,5.004000000000002,0,44.47,5,5,2,1
110,Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1,358.36100000000005,3.214920000000001,4,91.23,5,5,0,8
111,COc1cc(C)n2cc(C(=O)c3ccccc3)nc2n1,267.288,2.2773200000000005,3,56.49,3,3,0,5
112,COc1cccc(-c2ccc3nncn3n2)c1,226.239,1.7998999999999992,2,52.31,3,3,0,5
113,CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C,309.369,3.229820000000002,5,56.49000000000001,3,3,0,5
114,CCc1ccc2c(c1)c(OC)cc1nc(C(C)=O)cn12,268.316,3.2611000000000017,3,43.599999999999994,3,3,0,4
115,NC(=S)NCC(=O)O,134.16,-1.0958,2,75.35,0,0,3,2
116,COc1cccc(OC)c1OC(=O)C(CCSC)N1CCCCCC1,367.51100000000025,3.606900000000002,8,48.00000000000001,2,1,0,6
117,Clc1ccc2[nH]c3c(ncc4[nH]c5ccccc5c43)c2c1,291.74100000000004,5.004000000000002,0,44.47,5,5,2,1
118,CCOCCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1,367.44200000000023,2.1267000000000005,9,66.46000000000001,2,1,0,7
119,O=C(NC1CCc2ccccc21)C(=O)c1c[nH]c2ccccc12,304.34900000000005,3.154300000000001,3,61.96,4,3,2,2
120,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)ccc1O,369.33300000000014,2.289400000000001,6,134.56,3,3,3,6
121,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,325.28000000000003,2.6031000000000004,4,125.33000000000001,3,3,3,5
122,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,415.3960000000002,5.124000000000003,1,70.72,5,4,1,5
123,CCOC(=O)c1cn2c(n1)sc1cc(CC)ccc12,274.34499999999997,3.288100000000002,3,43.6,3,3,0,5
124,COc1cc2nc(C(=O)c3ccccc3)cn2c2ccccc12,302.3330000000001,3.7271000000000027,3,43.599999999999994,4,4,0,4
125,CC(=O)C1(C)CCC2C(CCC3CC(O)CCC32C)C1,278.436,3.959100000000003,1,37.3,3,0,1,2
126,CC(C)c1cccc(C(C)C)c1O,178.27499999999995,3.6390000000000025,2,20.23,1,1,1,1
127,CCOC(=O)C(C)NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,333.30000000000007,1.3265999999999996,6,131.4,2,2,2,6
128,O=c1cc(-c2cccc([N+](=O)[O-])c2)oc2ccc(Br)cc12,346.136,4.130700000000002,2,73.35,3,3,0,4
