,SMILES
277,O=c1c(-c2ccsc2)c[nH]c2c(-c3ccsc3)cnn12
278,NCc1cc(=O)[nH]o1
279,CCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC
280,Cc1ccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)cc1
281,CN(NC(=O)C(=O)c1cn(C)c2ccccc12)c1ccccc1
282,CC#CCNC(=O)c1cnc2c(cnn2CCCCC)c1N
283,O=C(NNc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccccc12
284,C=CCCn1ncc2c(N)c(C(=O)NCC=C)cnc21
285,O=c1c(-c2ccsc2)c[nH]c2c(-c3ccc4ccccc4c3)cnn12
286,CCOc1cc(OCC)c(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1OCC
287,COc1cccc(OC)c1OC(=O)C(CCSC)N1CCCCC1
288,COc1ccc(CN(C)C2C3C4CC5C6C4CC3C6C52)cc1OC
289,CC(=O)Nc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
290,O=C(NNc1ccccc1)C(=O)c1c[nH]c2ccc(Cl)cc12
291,CCOC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C
292,CCN(CC)CCOC(=O)c1ccccc1-c1ccccc1
293,O=C(NNc1ccc(F)cc1)C(=O)c1c[nH]c2ccccc12
294,COc1ccc2c(c1)oc(=O)n1nc(-c3ccccc3F)nc21
295,Cc1ccc(NNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
296,OCCNc1ncnc2c1ncn2Cc1ccccc1
297,CC1CCc2nc3c(c(N)c2C1=O)c1ccccc1n3C
298,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
299,C=CCN(CC=C)C(=O)c1cnc2c(cnn2CCCCC)c1N
300,O=C(NNc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12
301,COc1ccc(NNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
302,Cc1nc(N2CCC(O)C2)ncc1-c1cc(C(F)(F)F)cc2[nH]ncc12
303,COc1ccc(NC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
304,Cc1ccc(-c2cnc(C3(O)CCC(C(=O)O)C(C)(C)C3)s2)cc1Nc1cccc(C(F)(F)F)n1
305,COCCOc1nc(-c2ccc(Cl)nc2)nc2c1CN(C(=O)c1ncn3ccccc13)CC2
306,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1
307,COc1cc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc(OC)c1OC
308,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F
309,O=[N+]([O-])C1=Cc2cc(I)ccc2OC1C(F)(F)F
310,On1cc(C2CCNCC2)cn1
311,On1cc(C2CCNCC2)c(-c2cn(Cc3ccccc3)c(-c3ccccc3)n2)n1
312,CN(C)C1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1
313,O=C(NNS(=O)(=O)c1ccccc1F)c1cc(F)cc(-c2ccccn2)c1
314,N#[N+]c1cccc2cccc(S(=O)(=O)[O-])c12
315,C=CCNC(=O)c1cnc2c(cnn2CCC#CC)c1N
316,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc(Cl)cc23)cc1OC
317,O=c1oc2cc(Cl)ccc2c2nc(-c3ccccc3F)nn12
318,COCc1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
319,Nc1nn2c(-c3ccccc3)nnc2c2ccccc12
320,C=CCC1(c2cccc(C3(C(F)(F)F)N=N3)c2)C(=O)NC(=O)N(C)C1=O
321,CC#CCCn1ncc2c(N)c(C(=O)NCC3CC3)cnc21
322,O=c1c2cnc3cccc(O)c3c2[nH]n1-c1ccccc1
323,CNC(=O)Nc1ccc2c(c1)C1(CC2)OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)C(C)C(F)(F)F)C1=O
324,N#Cc1ccc(Nc2ccc3[nH]c(=O)[nH]c3c2)c(Cl)c1
325,CNC(=O)c1cc(C(=O)NC2C3COCC32)cc2c1OC(CF)C2c1ccccc1
326,O=C(N1CCOCC1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccc(Cl)cc21
327,c1ccc(-c2ccc(-c3nnc4c5ccccc5c(N5CCCC5)nn34)cc2)cc1
328,CN(C1CCc2c(CC(=O)O)c3cc(S(C)(=O)=O)ccc3n2C1)S(=O)(=O)c1ccc(F)cc1
