Code,SMILES
P6138328,COC(=O)CCNC(=O)CNC(=O)Cc1coc2cc(C)c(C)cc12
P6236678,CC(C)C(NC(=O)Cc1c[nH]c2ccccc12)c1nnc2ccccn12
P6236972,O=C(Cc1csc(-c2cccc(Cl)c2)n1)NCc1cccc(C(=O)O)c1
P6238783,Cc1cc(C(=O)NCCc2c[nH]c3ccccc23)c2c(C)noc2n1
P6239127,CN(Cc1ccccc1)c1ccc2nnc(C(F)(F)F)n2n1
P6239340,COc1cc2ncn(CCC(=O)Nc3ccccn3)c(=O)c2cc1OC
P6239841,CC(=O)Nc1cccc(NC(=O)c2cc(C)nc3onc(C)c23)c1
P6239965,O=C(Cc1csc(-c2ccccc2F)n1)NCc1cccc(C(=O)O)c1
P6240400,CC(=O)c1ccc(NC(=O)c2snnc2-c2ccccc2)cc1
P6240999,O=C(c1c(-n2cccc2)sc2c1CCC2)N1CCC(O)(c2ccc(Cl)cc2)CC1
P6241606,Cc1nnc(NC(=O)Cc2c(C)c3cc4c(C)coc4c(C)c3oc2=O)s1
P6241607,Cc1coc2c(C)c3oc(=O)c(CC(=O)Nc4nnc(C(C)C)s4)c(C)c3cc12
P6241679,COc1ccccc1CNC(=O)CCSc1ncnc2sc(C)c(C)c12
P6241689,Cc1sc2ncnc(SCCC(=O)N3CCN(c4ccccn4)CC3)c2c1C
P6243537,CCCCc1ccc(NC(=O)Cn2nc(-c3ccc(F)cc3OC)ccc2=O)cc1
P6244475,Cn1cc(C(=O)NCCNC(=O)Cc2c[nH]c3ccccc23)c2ccccc21
P6244555,COc1ccc2ncc(C(=O)N(C)c3ccccc3)c(O)c2c1
P6245404,O=C(Cn1nc(-c2cccc3ccccc23)ccc1=O)N[C@@H](Cc1ccccc1)C(=O)O
P6245563,CC(=O)Nc1cccc(NC(=O)c2cnn(C)c2-n2cccc2)c1
P6245582,Cn1ncc(C(=O)NCc2cccc(F)c2)c1-n1cccc1
P6245996,Cc1csc2ncc(C(=O)Nc3ccc4cc[nH]c4c3)c(=O)n12
P6246190,CC(=O)Nc1cccc(NC(=O)c2cnc3sccn3c2=O)c1
P6246903,Cc1nn(C)c2nc(C(C)C)cc(C(=O)NCCc3c[nH]c4ccccc34)c12
P6247601,Cc1cc(C)n(-c2ccc3nnc(CCC(=O)NC4CCCCCCC4)n3n2)n1
P6247619,O=C(NCc1cccnc1)C1CCN(c2ccc3nnc(-c4ccccc4)n3n2)CC1
P6248222,COc1ccc2cnn(CC(=O)NCCn3cnc4ccccc43)c(=O)c2c1OC
P6248243,Cc1csc(NC(=O)CCC(=O)Nc2ccc(Br)cc2)n1
P6248330,O=C(NCCn1c(=O)c(=O)[nH]c2ccccc21)c1n[nH]c2ccccc12
P6248839,CN1C(=O)c2cccc3c(S(=O)(=O)NNC(=O)c4ccc(O)cc4)ccc1c23
P6248918,CCCCN(c1ccccc1C(=O)O)S(=O)(=O)c1ccc(OC)c2ccccc12
P6248941,CCCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(C(=O)O)c4)ccc1c23
P6327417,Cc1ccccc1-n1nnc(C(=O)NCc2ccccn2)c1C
P6327919,Cc1ccc(-n2nnc(-c3nnc(-c4ccccc4)o3)c2C2CC2)cc1
P6328469,Cc1oc(-c2ccc(Cl)cc2)cc1-c1nnc(-c2ccccn2)o1
P6328473,Cc1oc(-c2ccc(Cl)cc2)cc1-c1nnc(-c2cccnc2)o1
P6328477,Brc1ccc(-c2ccc(-c3nnc(-c4ccncc4)o3)o2)cc1
P6328479,COCc1c(-c2nnc(Cc3ccc(Cl)cc3)o2)nnn1-c1ccc(F)cc1
P6328520,COCc1c(-c2nnc(-c3cccnc3)o2)nnn1-c1cccc(C(F)(F)F)c1
P6328544,c1ccc(-c2noc(CSc3nnnn3-c3ccccc3)n2)cc1
P6465710,COc1cccc2cc(C(=O)NCCc3nc(-c4ccc(Cl)cc4)no3)oc12
P6466468,O=c1cc(-c2cccc(F)c2)oc2cc(O)ccc12
P6665760,O=C(Cc1n[nH]c(=O)c2ccccc12)NC1CCN(Cc2ccccc2)CC1
P6665768,COc1ccc(NC(C)=O)cc1NC(=O)Cc1n[nH]c(=O)c2ccccc12
P6665772,O=C(Cc1n[nH]c(=O)c2ccccc12)Nc1nc(-c2cccs2)cs1
P6666115,COc1cccc(C2C(C(=O)Nc3nc4ccc(C)cc4s3)CC(=O)N2C)c1OC
P6666383,CCOC(=O)Cc1csc(NC(=O)c2cn(CCC(C)C)c(=O)c3ccccc23)n1
P6667138,Cc1nn(C)c(C)c1-c1cc(C(=O)NCc2nnc3ccccn23)n[nH]1
P6667162,Cc1nn(C)c(C)c1-c1cc(C(=O)NCCSc2ccccc2)n[nH]1
P6667585,O=C(NCCc1nc2ccccc2[nH]1)C(c1ccccc1)n1cnnn1
P6667605,c1cc(-c2ccnc3nc(C4CCC4)nn23)ccn1
P6667652,c1cc(-c2ccsc2)n2nc(C3CCC3)nc2n1
P6667666,O=C(NCCCc1nnc2ccccn12)c1cc2ccc(Cl)cc2s1
P6667764,COc1ccc(-c2cc(C(=O)NCc3nc4ccccc4n3C)n[nH]2)cc1OC
P6668088,COc1cccc(-c2ccnc3nc(-c4ccccc4OC)nn23)c1
P6668094,c1coc(-c2nc3nccc(-c4cc5ccccc5o4)n3n2)c1
P6668111,COc1ccc(-c2ccnc3nc(Cc4cc(F)cc(F)c4)nn23)c(F)c1
P6668174,Fc1cc(F)cc(Cc2nc3nccc(-c4cc5ccccc5o4)n3n2)c1
P6668195,Cc1ccc(C(=O)NCc2nc3ccccc3[nH]2)c(-n2cnnn2)c1C
P6668270,COc1cccc(-c2ccnc3nc(-c4cccs4)nn23)c1
P6668293,c1cc(-c2ccsc2)n2ncnc2n1
P6668305,COc1ccccc1CNC(=O)C1CC(=O)N(c2n[nH]c3cccc(F)c23)C1
P6668373,COc1ccc(-c2[nH]nc(C)c2CC(=O)NCc2ccncc2)cc1
P6668518,Cc1nnc(NC(=O)C2CC(=O)N(c3n[nH]c4cccc(F)c34)C2)s1
P6923042,O=C(c1c[nH]c2ccccc12)C1CCCN(C(=O)OCc2ccccc2)C1
P7006180,N#Cc1nc(-c2ccccc2)oc1S(=O)(=O)n1ncnc1N
P7006851,COc1cc(C(c2c(O)cc(C)oc2=O)c2c(O)cc(C)oc2=O)ccc1O
P7008267,CCCCNc1nc(Nc2ccccc2)c2cnn(C)c2n1
P7009541,Cc1ccc(-n2ncc3c2ncn2c(CCc4ccccc4)nnc32)cc1C
P7009542,COc1ccc(-c2nnc3c4cnn(-c5ccc(C)c(C)c5)c4ncn23)cc1
P7009551,CCc1ccc(-c2nnc3c4cnn(-c5ccccc5)c4ncn23)cc1
P7009553,COc1ccc(-c2nnc3c4cnn(-c5cc(C)cc(C)c5)c4ncn23)cc1
P7009558,Clc1ccc(-n2ncc3c2ncn2c(C4CCCCC4)nnc32)cc1
P7009559,Clc1ccc(-n2ncc3c2ncn2c(Cc4cccc5ccccc45)nnc32)cc1
P7009560,Cc1nnc2c3cnn(-c4ccc(Cl)cc4)c3ncn12
P7009562,COc1ccc(-c2nnc3c4cnn(-c5ccc(Cl)cc5)c4ncn23)cc1
P7009568,Clc1ccc(-c2nnc3c4cnn(-c5ccc(Cl)cc5)c4ncn23)cc1
P7009569,CCc1ccc(-c2nnc3c4cnn(-c5ccc(Cl)cc5)c4ncn23)cc1
P7009571,Fc1ccc(-n2ncc3c2ncn2c(C4CCCCC4)nnc32)cc1
P7009572,Fc1ccc(-n2ncc3c2ncn2c(CCc4ccccc4)nnc32)cc1
P7009573,CC(C)(C)c1ccc(-c2nnc3c4cnn(-c5ccc(F)cc5)c4ncn23)cc1
P7009575,COc1ccc(-c2nnc3c4cnn(-c5ccc(F)cc5)c4ncn23)cc1
P7009584,Cc1cccc(-c2nnc3c4cnn(-c5ccc(C)cc5C)c4ncn23)c1
P7009588,COc1ccc(-c2nnc3c4cnn(-c5ccccc5C)c4ncn23)cc1
P7009590,Cc1cccc(-c2nnc3c4cnn(-c5ccccc5C)c4ncn23)c1
P7009595,COc1ccc(-c2nnc3c4cnn(-c5ccccc5C)c4ncn23)cc1OC
P7009628,CCc1ccc(-c2nnc3c4cnn(-c5cccc(C)c5)c4ncn23)cc1
P7009638,CC(C)(C)c1ccc(-c2nnc3c4cnn(-c5ccccc5)c4ncn23)cc1
P7009639,COc1ccc(-c2nnc3c4cnn(-c5ccccc5)c4ncn23)cc1OC
P7010080031,O=C(C1=C(O)C(=O)N(c2nncs2)C1c1ccc(Cl)cc1)c1cccs1
P7010080060,Cc1ccc(C(=O)C2=C(O)C(=O)N(c3ccccn3)C2c2ccc(C)cc2)cc1
P7010401,Cn1c(=O)c2cc(C(=O)NCC(=O)c3ccccc3)n(Cc3ccccc3)c2n(C)c1=O
P7011070091,c1ccc(Oc2ncnc3ccccc23)cc1
P7011070103,Clc1ccc(Oc2ncnc3ccccc23)cc1
P7011080286,C=CCN(CC=C)Cc1c[nH]c2ccccc12
P7011080296,CN1CCN(Cc2c[nH]c3ccccc23)CC1
P7011460366,Cc1cc2nnc(SCCCCN3C(=O)c4ccccc4C3=O)n2c2ccccc12
P7011520008,Cc1ccc(-n2c(N)c(C#N)c3nc4ccccc4nc32)c(C)c1
P7011520021,Cc1ccc(-n2c(N)c(C#N)c3nc4ccccc4nc32)cc1C
P7011520029,Cc1ccc(-n2c(N)c(C#N)c3nc4ccccc4nc32)c(Br)c1
P7011520031,Cc1ccc(-n2c(N)c(C#N)c3nc4ccccc4nc32)cc1Cl
P7012320748,Cc1ccc(C)c(OCC(=O)Nc2nnc(Cc3ccc(Cl)cc3)s2)c1C
P7012701936,Cc1cc(Cl)ccc1OC(C)C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
P7012790014,Cc1ccc2nc(SCc3cn4cccnc4n3)[nH]c2c1
P7013050429,CCCCOC(=O)Cn1cnc2scc(-c3ccc(C)c(C)c3)c2c1=O
P7013050581,CCCCOC(=O)CSc1ncnc2sc(C)c(C)c12
P7013160085,COc1cc(C(=O)OCC(=O)Nc2ccc(C)cc2)c(Br)c(OC)c1OC
P7013161753,COc1cccc(C(=O)OCC(=O)NCc2ccccc2)c1
P7013540849,Cc1ccc(C(=O)OCC(=O)Nc2cccc(Cl)c2C)cc1C
P7013830846,CCOC(=O)c1sc(NC(=O)Cn2cnc3sc(C)c(C)c3c2=O)c(C(=O)OCC)c1C
P7013860054,COc1ccc(-c2cc(=O)c3cc(OCc4ccccc4)ccc3o2)cc1
P7014320440,CCOC(=O)c1sc2ncn3c(CCc4ccccc4)nnc3c2c1C
P7014320446,CCOC(=O)c1sc2ncn3c(-c4ccccc4)nnc3c2c1C
P7014650017,COC(=O)c1cccc(Nc2ncnc3ccc([N+](=O)[O-])cc23)c1
P7014670698,CCOc1ccc(NC(=O)COC(=O)CCc2ccccc2)cc1
P7014740328,O=C(O)c1ccccc1-c1cc(=O)c2cc(Cl)ccc2o1
P7014750378,CCOc1ccc(NC(=O)CSCc2ccc([N+](=O)[O-])cc2)cc1
P7014751190,COc1ccc(-c2csc3ncn(CC(=O)Nc4sc5c(c4C#N)CCC5)c(=O)c23)cc1OC
P7015020041,COC(=O)C(C)n1cnc2sc(C)c(-c3ccc(C)c(C)c3)c2c1=O
P7015580101,Cc1nc2c(C)c(Cl)ccc2c(O)c1CN1CCCC(C)C1
P7015870040,N#Cc1c(NC(=O)Cn2nnc3sc4c(c3c2=O)CCCC4)sc2c1CCC2
P7016280110,Cc1cc(C)c2oc(-c3cccc(Br)c3)cc(=O)c2c1
P7016400783,O=c1cc(-c2ccc(Cl)cc2)oc2ccc(O)cc12
P7016400784,O=c1cc(-c2cccc(Br)c2)oc2ccc(O)cc12
P7016400786,O=c1cc(-c2ccccc2)oc2ccc(O)cc12
P7016870174,CCOC(=O)/C(C(C)=O)=C1\N=C(NC(=O)c2ccccc2[N+](=O)[O-])c2ccccc21
