Code,SMILES
P7119870074,Cc1ccccc1OCC(=O)Nc1ccnc2cc(C(F)(F)F)ccc12
P7119832854,Cc1ccc(C)c(NC(=O)Cn2nnc(-c3ccc(Cl)cc3)n2)c1
P7119831307,O=C(c1ccc2noc(-c3ccccc3)c2c1)N1CCCc2ccccc21
P7119830974,Fc1ccc(-c2cn3cc(Cc4ccccc4F)sc3n2)cc1
P7119830224,Cc1cccc(OCc2nnc3sc(-c4ccncc4)nn23)c1
P7119830223,COc1ccc(-c2nn3c(COc4cccc(C)c4)nnc3s2)cc1OC
P7119790588,Cc1ccc(-n2c(N)c(C(=O)OCC(C)C)c3nc4ccccc4nc32)cc1
P7119760195,O=C(Nc1cccc(F)c1)c1cccc([N+](=O)[O-])c1C(=O)O
P7119730592,CC(=O)NCCc1nc2ccccc2n1Cc1ccc2ccccc2c1
P7119692473,Cc1oc2cc3oc(=O)c(CC(=O)NCc4ccco4)c(C)c3cc2c1-c1ccccc1
P7119692405,COc1ccc(CNC(=O)Cc2c(C)c3c(cc(C)c4c(C)coc43)oc2=O)cc1OC
P7119692398,Cc1ccc(CNC(=O)Cc2c(C)c3c(cc(C)c4c(C)coc43)oc2=O)cc1
P7119692364,Cc1oc2cc3oc(=O)c(CC(=O)NCCc4ccccc4F)c(C)c3cc2c1C
P7119692358,COc1cccc(CNC(=O)Cc2c(C)c3cc4c(C)c(C)oc4cc3oc2=O)c1
P7119692339,Cc1oc2c(C)c3oc(=O)c(CC(=O)NCc4ccco4)c(C)c3cc2c1C
P7119692016,Cc1cc(O)c2c(C)c(CC(=O)NCc3cccc(Cl)c3)c(=O)oc2c1
P7119642513,CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2cc3cccc(OC)c3o2)C1c1cccc(OC)c1
P7119642025,CCNC(=O)c1cc2c(=O)n3ccccc3nc2n(Cc2cccnc2)c1=N
P7119641222,COc1cccc(C2C(C(=O)c3c(C)nc4ccccn34)=C(O)C(=O)N2CCN2CCOCC2)c1
P7119641205,Cc1ccc(C2C(C(=O)c3c(C)nc4ccccn34)=C(O)C(=O)N2CCN(C)C)o1
P7119641191,Cc1nc2ccccn2c1C(=O)C1=C(O)C(=O)N(CCCn2ccnc2)C1c1ccc(F)cc1
P7119641186,CCN(CC)CCCN1C(=O)C(O)=C(C(=O)c2c(C)nc3ccccn23)C1c1ccc(C(C)C)cc1
P7119641167,Cc1ccc(C2C(C(=O)c3sc(C)nc3C)=C(O)C(=O)N2CCCN(C)C)o1
P7119640907,O=C(C1=C(O)C(=O)N(CCN2CCOCC2)C1c1ccccn1)c1cc2ccccc2o1
P7119640803,Cc1nc2ccccn2c1C(=O)C1=C(O)C(=O)N(CCCN(C)C)C1c1ccc(Cl)cc1
P7119640541,N=c1c(C(=O)NCC2CCCO2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1
P7119561849,CN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccn4)ccc1c23
P7119561771,Cc1ccccc1NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C
P7119471077,O=c1c2c3nc4ccccc4nc3n(CCc3ccccc3)c2ncn1Cc1ccco1
P7119250052,COc1cc(NS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3C)cc(OC)c1
P7118351690,COc1ccc(N(C(=O)C(C)C)S(=O)(=O)c2cccs2)cc1
P7118350664,COc1ccc(OC)c(S(=O)(=O)Nc2cc(Cl)ccc2O)c1
P7118070067,Fc1ccc(-n2ncc3c(SCCOc4ccccc4)ncnc32)cc1
P7117100154,Cc1ccc(N(C)C(=O)Oc2ccc3ccccc3c2)cc1
P7115750081,O=C(O)CCCN1C(=O)c2cccc3c(O)ccc(c23)C1=O
P7114830463,O=S(=O)(NC12CC3CC(CC(C3)C1)C2)c1cccc(C(F)(F)F)c1
P7114830460,O=S(=O)(NC1CCCCC1)c1ccc(Cl)c(C(F)(F)F)c1
P7114830227,O=S(=O)(NC12CC3CC(CC(C3)C1)C2)c1ccc(Cl)c(C(F)(F)F)c1
P7114551525,COc1ccc(S(=O)(=O)N(C(=O)c2ccc(Cl)cc2)c2ccc3oc(C)c(C(C)=O)c3c2)cc1
P7114510209,CC1=C(C(N)=O)C(c2ccc(Cl)cc2Cl)n2nc(CCCO)nc2N1
P7114510205,CC1=C(C(N)=O)C(c2ccccc2F)n2nc(CCCO)nc2N1
P7113250022,O=C(O)CS(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
P7111610067,N#Cc1nc(-c2ccc(Cl)cc2)oc1NC1CCCCC1
P7111610066,Cc1ccc(-c2nc(C#N)c(NC3CCCCC3)o2)cc1
P7111610064,N#Cc1nc(-c2ccccc2)oc1NC1CCCCC1
P7110952686,COc1cc2c(cc1OC)C(c1ccc(O)cc1)NCC2
P7110940339,COc1ccc(C(=O)CSc2nc(C)cc(O)n2)cc1C
P7110940319,COc1ccc(C(=O)CSc2nc(O)c3c(C)cc(C)nc3n2)cc1
P7110320053,Cc1csc2nc(CSc3nnnn3-c3ccccc3)c(Br)n12
P7020721869,Cc1ccc(NC(=O)CSc2nnc3cc(-c4ccccc4)nc(C)n23)cc1
P7020720954,Cc1nc2c(c(NC3CCCCC3)n1)CCC2
P7020720953,Cc1cc(NC2CCCCC2)ncn1.Cl
P7020720938,CCOC(=O)c1cnc(SC)nc1NCc1ccccn1.Cl
P7020632942,Cc1ccc(-c2csc3ncnc(Nc4cccc(C(=O)O)c4)c23)cc1
P7020600813,C=CCNC1CS(=O)(=O)CC1S(=O)(=O)c1cc(C)c(OC)cc1C
P7020600746,COc1ccc(C)cc1S(=O)(=O)C1CS(=O)(=O)CC1NCc1ccccc1C
P7020580497,CSc1nc(NC2CCCC2)c(C#N)c(-c2ccccc2)n1
P7020580396,CSc1nc(NC2CCS(=O)(=O)C2)c(C#N)c(-c2ccc(C)cc2)n1
P7020580394,CCC(CO)Nc1nc(SC)nc(-c2ccc(Cl)cc2)c1C#N
P7020580292,CCC(CO)Nc1nc(SC)nc(-c2ccc(C(C)(C)C)cc2)c1C#N
P7020580273,CSc1nc(NCC(C)O)c(C#N)c(-c2ccc(C(C)(C)C)cc2)n1
P7020580149,C=CCN1C(=O)COc2ccc(-c3nc(NC(=O)COC)sc3C)cc21
P7020580141,C=CCN1C(=O)COc2ccc(-c3nc(NC(C)=O)sc3C)cc21
P7020570032,COc1ccc(NC(=O)CSc2cnnc(O)n2)cc1OC
P7020570026,NS(=O)(=O)c1ccc(NC(=O)CSc2cnnc(O)n2)cc1
P7020570014,CCOC(=O)c1sc(NC(=O)CSc2nc(O)nnc2C)nc1C
P7020531189,CC(=O)Nc1ccc(S(=O)(=O)N2CCc3cc4cccc(C)c4nc32)cc1
P7020531174,COc1cc(C)c(C)cc1S(=O)(=O)N1CCc2cc3cccc(C)c3nc21
P7020531170,COc1ccc(S(=O)(=O)N2CCc3cc4cccc(C)c4nc32)c(OC)c1
P7020531161,Cc1cccc2cc3c(nc12)N(S(=O)(=O)c1ccc(C(C)C)cc1)CC3
P7020531123,COc1ccc(C(=O)N2CCc3cc4cccc(C)c4nc32)cc1
P7020530855,O=S(=O)(Cc1ccc(Cl)cc1)N1CCc2cc3ccccc3nc21
P7020526960,COC(=O)c1ccc(CSc2nc(C)c(CCO)c(=O)[nH]2)cc1
P7020526917,CC(=O)c1sc(NC(=O)CSc2nc(C)c(CCO)c(=O)[nH]2)nc1C
P7020460236,CCN1C(=O)COc2ccc(-c3nc(NC(C)=O)sc3C)cc21
P7020402297,CCOC(=O)c1sc(-c2ccc(F)cc2)nc1C
P7020370080,Cc1ccc(O)c(Nc2c(C(=O)O)cnc3c(C)cc(C)cc23)c1.Cl
P7020370046,Cc1cccc2c(Nc3cccc(C(F)(F)F)c3)c(C(=O)O)cnc12.Cl
P7020370015,Cl.O=C(O)c1cnc2c(ccc3ccccc32)c1NCCO
