Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P1692241,2,2,6,4.10E+00,5,1.13E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D990>,,Cc1ccc2c(CC(=O)Nc3sc4c(c3C(=O)NCc3ccco3)CCC4)coc2c1
P1692661,2,3,10,4.10E+00,4,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D9F0>,,CCOCCCNC(=O)c1c(NC(=O)Cc2coc3ccc(CC)cc23)sc2c1CCC2
P1692723,1,4,5,2.90E+00,2,7.73E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DA50>,,CCc1nonc1NC(=O)COc1ccc(Cl)c(C)c1
P1799671,2,2,2,2.00E+00,3,4.49E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DAB0>,,O=C(c1c[nH]c2ccccc12)C1CCNCC1
P1799672,2,2,2,2.10E+00,3,4.49E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DB10>,,O=C(c1c[nH]c2ccccc12)C1CCCNC1
P2125358,0,4,7,2.90E+00,2,5.26E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DB70>,,CC(=O)c1ccc(OCCOc2ccc(C(C)=O)cc2)cc1
P2168245,2,1,2,3.80E+00,4,2.78E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DBD0>,,c1ccc(-c2ccc3[nH]cc(C4CCNCC4)c3c2)cc1
P2187796,1,4,5,3.20E+00,4,7.18E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DC30>,HCl,Cc1ccc2c(=O)cc(C(=O)NCC(c3ccco3)N3CCCC3)oc2c1.Cl
P2188818,1,3,5,4.40E+00,4,8.30E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DC90>,,Cc1ccc2c(C)c(C(=O)NCC(c3cccs3)N3CCOCC3)oc2c1C
P2189634,1,5,5,3.70E+00,4,8.25E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DCF0>,,COc1ccc(Cn2nccc2NC(=O)c2cc(=O)c3cc(C)c(C)cc3o2)cc1
P2190442,1,3,6,4.50E+00,4,8.12E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DD50>,,CCc1ccc2oc(C(=O)NCCc3nc(-c4ccccc4)no3)c(C)c2c1
P2193072,0,4,4,3.20E+00,4,8.47E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DDB0>,,Cc1ccc(-c2noc(C3CCN(S(=O)(=O)c4ccccc4)CC3)n2)cc1
P2193353,0,5,5,3.70E+00,3,9.89E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DE10>,,CN(Cc1ccccc1)c1oc(-c2ccccc2[N+](=O)[O-])nc1C#N
P2193864,1,3,4,4.50E+00,3,6.44E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DE70>,,COc1ccc(NC(=O)c2c(C)noc2-c2ccc(Cl)cc2)cc1Cl
P2194147,1,5,5,2.60E+00,3,1.18E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DED0>,,Cc1nc(C)c(-c2nnc(NC(=O)COc3c(C)cccc3C)o2)s1
P2194153,1,5,5,2.10E+00,3,1.18E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DF30>,,Cc1nc(C)c(-c2nnc(NC(=O)COc3ccccc3C)o2)s1
P2194200,1,6,7,3.20E+00,2,1.07E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245DF90>,,COC(=O)CNC(=O)c1nc(SCc2ccc(C)cc2)ncc1Cl
P2194617,1,5,9,3.00E+00,2,9.43E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449030>,,COC(=O)C(CC(C)C)NC(=O)CCc1nc(-c2ccc(Cl)cc2)no1
P2194997,1,3,6,4.70E+00,3,6.44E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449090>,,Cc1cccc(OCCNC(=O)c2cc(-c3ccc(F)c(F)c3)on2)c1C
P2195316,1,3,6,2.90E+00,2,4.76E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934490F0>,,COc1ccccc1OCCNC(=O)c1ccc(F)cc1
P2195663,1,4,8,3.90E+00,2,5.68E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449150>,,COc1ccccc1OCCNC(=O)C(C)Oc1cccc(C)c1C
P2195980,1,3,3,4.20E+00,4,9.26E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934491B0>,,COc1ccc2oc(C)c(C(=O)Nc3nc4ccc(C)cc4s3)c2c1
P2897178,0,4,1,3.70E+00,4,4.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449210>,,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(Br)cc12
P3328909,1,1,1,2.70E+00,2,5.69E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449270>,,Brc1ccc(-c2cc[nH]n2)s1
P3336886,0,3,1,2.70E+00,3,4.31E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934492D0>,,Clc1ccc2nnc(-c3ccccc3)n2n1
P3459990,1,4,4,4.40E+00,4,1.21E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449330>,,COc1cccc(F)c1-c1nc(C)c(C(=O)Nc2nc3ccccc3s2)s1
P3460666,2,3,5,4.20E+00,5,7.07E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449390>,,O=C(NCCc1c[nH]c2ccccc12)c1cc(-c2cccnc2)nc2ccccc12
P3461471,3,3,6,2.20E+00,3,8.32E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934493F0>,,COc1ccccc1C(=O)NCCNC(=O)c1c[nH]c2ccccc12
P3461982,2,4,6,4.40E+00,3,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449450>,,O=C(Cc1csc(-c2c(Cl)cccc2Cl)n1)N[C@H](C(=O)O)c1ccccc1
P3462490,2,3,5,2.80E+00,3,7.13E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934494B0>,,O=C(Cn1ccc2ccc(F)cc21)N[C@H](C(=O)O)c1ccccc1
P3462580,1,5,5,9.00E-01,3,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449510>,,COc1ccc(OC)c(N2CC(C(=O)Nc3nccs3)CC2=O)c1
P3462717,1,5,4,1.40E+00,4,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449570>,,CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(C)nc4ccccc34)CC2)cc1
P3462968,2,4,6,2.60E+00,3,8.06E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934495D0>,,COc1ccc2c(ccn2CC(=O)N[C@@H](C(=O)O)c2ccccc2)c1
P3463414,1,3,3,1.90E+00,2,6.59E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449630>,,COc1ccc2[nH]cc(C(=O)CC#N)c2c1
P3694775,0,3,1,2.20E+00,3,6.27E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393449690>,,N#Cc1cccc(-c2nc3ncccc3o2)c1
P4347372,0,3,3,5.00E+00,3,7.42E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934496F0>,,COc1nc(-c2cccs2)cc(-c2ccc(C)cc2)c1C#N
