Molecule ChEMBL ID,SMILES
CHEMBL12861,COc1cc(C)cc(OC)c1OC(=O)C(CCS(C)(=O)=O)N1C=CCCC1
CHEMBL20349,CCOc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCCC2
CHEMBL96,NCCCC(=O)O
CHEMBL73416,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12
CHEMBL58757,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
CHEMBL456576,Cl.Sc1nnc(C2CCNCC2)o1
CHEMBL479084,Cc1cccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccccc2)c1
CHEMBL341870,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL75307,O=C(NCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL21087,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12
CHEMBL479084,Cc1cccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccccc2)c1
CHEMBL181760,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1OC
CHEMBL280399,CCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12
CHEMBL1202910,Brc1ccccc1[C@H]1CC[C@H]2CCCCN21.Cl
CHEMBL314780,CCOC(=O)c1c(C)nc2c(cnn2CC)c1N
CHEMBL356061,O=C(NCCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
CHEMBL344308,Cn1cc(C(=O)C(=O)NCc2ccc(Cl)cc2)c2ccccc21
CHEMBL364164,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C)s1
CHEMBL19732,O=C1C2C=Nc3ccccc3C2=NN1c1ccccc1
CHEMBL188113,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1Br
CHEMBL6826,CN1Cc2c(C(=O)OCCC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O
CHEMBL13209,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
CHEMBL457192,Cl.Oc1nnc(C2CCNCC2)o1
CHEMBL144416,Cc1c(O)noc1C1CCNCC1
CHEMBL13869,COCCN(CCOC)c1nn2c(-c3ccc(C)cc3)nnc2c2ccccc12
CHEMBL1643902,CN(CCc1cccc(F)c1)[C@H]1C2C3CC4C5C3CC2C5C41
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CHEMBL63065,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1
CHEMBL116842,Oc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3
CHEMBL145850,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccccc12
CHEMBL21169,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2
CHEMBL287439,Cc1nnc(CNC(=O)C(N)CC(C)C)n1-c1ccc(Cl)cc1C(=O)c1ccccc1
CHEMBL294239,COCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
CHEMBL74013,COc1ccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)cc1
CHEMBL312443,Oc1noc2c1CCNC2
CHEMBL302056,Clc1cccc2[nH]c3c4c5ccccc5nc-4c[nH]c3c12
CHEMBL371300,C[C@H](N)Cn1ncc2ccc(O)cc21
CHEMBL68684,Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1
CHEMBL281824,COc1cc(C)n2cc(C(=O)c3ccccc3)nc2n1
CHEMBL156834,COc1cccc(-c2ccc3nncn3n2)c1
CHEMBL20765,CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C
CHEMBL301742,NC[C@H](CC(=O)O)c1ccc(Cl)cc1
CHEMBL21089,CCc1ccc2c(c1)c(OC)cc1nc(C(C)=O)cn12
CHEMBL83666,N/C(S)=N\CC(=O)O
CHEMBL276208,COc1cccc(OC)c1OC(=O)C(CCSC)N1CCCCCC1
CHEMBL312333,Clc1ccc2[nH]c3c4c5ccccc5nc-4c[nH]c3c2c1
CHEMBL58044,CCOCCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1
CHEMBL495592,O=C(N[C@@H]1CCc2ccccc21)C(=O)c1c[nH]c2ccccc12
CHEMBL149545,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)ccc1O
CHEMBL146389,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL543270,Cl.NCC(CC(=O)O)c1c(Cl)cccc1Cl
CHEMBL3652872,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1
CHEMBL280125,CCOC(=O)c1cn2c(n1)sc1cc(CC)ccc12
CHEMBL277406,COc1cc2nc(C(=O)c3ccccc3)cn2c2ccccc12
CHEMBL346975,CC(=O)[C@@]1(C)CCC2C(CC[C@H]3C[C@H](O)CC[C@]23C)C1
CHEMBL526,CC(C)c1cccc(C(C)C)c1O
CHEMBL314045,CCOC(=O)C(C)NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL54341,O=c1cc(-c2cccc([N+](=O)[O-])c2)oc2ccc(Br)cc12
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CHEMBL123618,O=C(NNc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL68442,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
CHEMBL364148,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)cc1
CHEMBL1518572,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
CHEMBL424805,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1
CHEMBL133914,C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(-c4ccccc4)no3)ncn1-2
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CHEMBL14202,COCCNc1nn2c(-c3ccc(OC)cc3)nnc2c2ccccc12
CHEMBL150119,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL124661,O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL302264,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc(Br)cc12
CHEMBL431022,CCCCCn1ncc2c(N)c(C(=O)NCCCC)cnc21
CHEMBL75456,C[C@@H](NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1
CHEMBL70547,Cn1cc(C(=O)C(=O)NCCc2ccc(Cl)cc2)c2ccccc21
CHEMBL419113,Nc1nc(CCC(=O)O)cs1
CHEMBL2398118,CCCCCNC(=O)C1=CCC(N)C1
CHEMBL486434,CCCCP(=O)(O)C1=CC[C@@H](N)C1
CHEMBL155168,ClCc1nnc2ccc(-c3ccccc3)nn12
CHEMBL416897,CC(C)(C)OC(=O)c1ncn2c1CN(C(=O)N1CCOCC1)c1ccccc1-2
CHEMBL279867,CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21
CHEMBL291308,COc1ccc(-c2cc(C#N)c(O)nc2-c2ccc(N(C)C)cc2)cc1
CHEMBL183984,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(Br)cc1
CHEMBL312471,C[C@]12N[C@H](Cc3ccc(N=C=S)cc31)c1ccccc12
CHEMBL365218,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)c(Cl)c1
CHEMBL417982,OCc1cc2c3ccccc3nc-2c[nH]1
CHEMBL457192,Cl.Oc1nnc(C2CCNCC2)o1
CHEMBL2092869,CN1C(=O)[C@@H](NC(=O)c2ccc(Br)cc2)N=C(c2ccccc2)c2ccccc21
CHEMBL86144,Cc1ccc(C(CN)CC(=O)O)s1
CHEMBL359971,COc1ccccc1-c1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N
CHEMBL4588159,N=c1ccc(-c2cccc(OCc3ccccc3)c2)nn1CCCC(=O)O
CHEMBL4570040,N=c1ccc(-c2cccc(N)c2)nn1CCCC(=O)O
CHEMBL184570,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C(F)(F)F)cc1
CHEMBL71830,N#[N+]c1ccc2cccc(S(=O)(=O)[O-])c2c1
CHEMBL90612,Cn1c2ccccc2c2cc3c(nc21)CCCC3=O
CHEMBL7909,Cn1c2ccccc2n2c(=O)c(-c3ccccc3)nnc12
CHEMBL2432057,CN(Cc1cccnc1)[C@H]1C2C3CC4C5C3CC2C5C41
CHEMBL58757,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
CHEMBL518287,O=C(CNC(=O)c1ccc(F)cc1)NC(c1ccccc1)c1cccc(Cl)c1
CHEMBL58757,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
CHEMBL127359,Cc1cccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)c1
CHEMBL165882,COC(=O)Nc1cc2c3ccccc3nc-2c[nH]1
CHEMBL71304,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL20221,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2
CHEMBL277106,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
CHEMBL86612,CC1CCc2nc3sc4ccccc4c3c(N)c2C1=O
CHEMBL144364,Oc1noc(C2CCNCC2)c1Cc1ccccc1
CHEMBL277450,COc1cc2nc(C(=O)c3ccccc3)cn2c2cc(C)c(C)cc12
CHEMBL145980,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccccc23)ccc1O
CHEMBL302739,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL2398117,CCCNC(=O)C1=CCC(N)C1
