AUC,ACC,PRE,REC,,,,,,,
RF,ecfp,val,,,,ave,std,,,
0.88371,0.725641,0.888095,0.500194,,,0.8164504,0.112807886,0.8164504¡À0.112807885574547,,
0.853832,0.569231,0.616156,0.850209,,,0.7453822,0.183943833,0.7453822¡À0.183943833225526,,
0.898894,0.710256,0.849939,0.597163,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.954583,0.877551,0.875,0.875,,,0.923334,0.030933823,0.923334¡À0.0309338234219438,,
0.917642,0.867347,0.882353,0.865385,,,0.7755102,0.09012008,0.7755102¡À0.0901200804743316,,
0.894715,0.72449,0.9375,0.545455,,,0.8430656,0.149496031,0.8430656¡À0.149496030791122,,
0.956448,0.683673,0.581081,1,,,0.7678822,0.206314591,0.7678822¡À0.20631459104169,,
0.893282,0.72449,0.939394,0.553571,,,,,,,
,,,,,,,,,,
KNN,ecfp,val,,,,,,,,
0.919754,0.853846,0.824721,0.896569,,,0.8694162,0.034198989,0.8694162¡À0.0341989891181011,,
0.839011,0.689744,0.612229,0.985576,,,0.7353846,0.067460653,0.7353846¡À0.0674606533973693,,
0.883822,0.702564,0.621731,0.994737,,,0.667791,0.088551238,0.667791¡À0.0885512379585966,,
0.837707,0.705128,0.639897,0.985092,,,0.9713948,0.04210013,0.9713948¡À0.0421001301506302,,
0.866787,0.725641,0.640377,0.995,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.951667,0.908163,0.854545,0.979167,,,0.9059864,0.028159605,0.9059864¡À0.0281596053558994,,
0.885452,0.755102,0.684211,1,,,0.7816326,0.073085581,0.7816326¡À0.0730855811073566,,
0.914165,0.77551,0.72,0.981818,,,0.713849,0.087942854,0.713849¡À0.0879428543799893,,
0.893869,0.72449,0.614286,1,,,0.9886256,0.010447327,0.9886256¡À0.0104473272323595,,
0.884779,0.744898,0.696203,0.982143,,,,,,,
,,,,,,,,,,
KNN,maccs,val,,,,,,,,
0.913315,0.830769,0.820837,0.845914,,,0.9234688,0.007535516,0.9234688¡À0.00753551608717016,,
